y_test,y_Hat
15699.9114,12928.81154126738
15816.9894,17812.444149272076
17999.9099,18891.319322488365
17999.9099,15493.733835400413
21490.4299,24043.055620296273
23562.5545,23338.16964159311
23330.8173,24145.78836919315
22242.4064,24970.848680704814
24567.5093,28495.571404742117
24567.5093,29440.5122045891
59407.698,60900.80161545734
66264.0812,85860.54603969124
62637.2751,87707.62067960051
52315.6601,66081.06187774509
66838.3574,67319.50906848174
66838.3574,70208.07211868347
2088.5001,2196.0306615624854
2512.384,1305.1178809883081
2288.8081,944.4778436469845
1838.4481,867.9274233598577
2290.3829,2275.6445521157398
2290.3829,2299.9825411214247
10727.9497,10419.75254476517
12494.4775,9188.988848838237
12958.0756,8222.18448031085
13047.4321,14573.436036392988
14858.2294,12490.24120125898
14858.2294,10780.555924476359
10720.333,11855.016705004036
11287.3604,13568.015954872139
11536.251,13914.678026626616
10169.0869,15864.088889656441
12194.7773,14279.694896355395
12194.7773,11544.891115225482
756.5476,1448.592943189655
769.4373,4867.657025887663
806.88,5152.169179548499
774.6893,6320.27203762488
822.348,1881.3252780943324
822.348,3739.063472324287
11270.4716,5335.65013374966
11563.8375,6875.015104059256
11726.7698,6193.601146421468
8458.1628,4462.6333853371525
9414.2262,5297.145745093168
9414.2262,7819.079033211602
8030.5851,3812.1248922031796
8399.694,6008.120029173498
8674.371,4680.686768758046
8335.2565,2994.9103888423033
8666.387,3481.951031560558
8666.387,7560.608995550904
4261.6538,3710.2707198160374
4188.9885,3945.470452582146
4308.2728,4951.40464144883
4042.7512,4499.86592056833
3857.3185,5481.249968157159
3857.3185,12301.64606969687
1805.5247,2019.0409552395142
1950.6294,1942.7749832048141
1991.7383,1969.9765464689565
2161.3102,2233.1589769965954
2360.5436,2309.709397283721
2360.5436,3192.029871902871
20138.1463,24149.448068702663
23318.7382,26361.916640010404
22430.2382,24976.35851674988
19539.5658,22737.86436978519
23185.8708,24763.37746895518
23185.8708,23463.659708510848
1385.1993,1392.677094742967
1484.2397,1340.4639606139663
1462.3543,896.5148563193756
1490.2031,727.7120345127522
1636.8932,1773.6212480932554
1636.8932,1773.6212480932554
6292.5436,8656.398178696936
7252.4019,9897.487134928471
7417.2036,8970.64973342584
7733.8029,10758.679358080879
9230.1783,15196.193167715328
9230.1783,11383.111478420218
16416.7762,16009.056679360494
16910.6882,15770.025345473561
17253.5057,14391.374225585007
12808.9875,18056.78481299285
14653.3094,13464.341444676817
14653.3094,14929.891864296487
484.4464,137.50838279408023
519.65,334.33028847040066
506.6069,434.77626345735723
493.4788,409.9100018704313
480.0392,479.9360776159417
480.0392,505.43372534226324
61150.7272,57500.52737183041
66859.3383,55769.81322204441
65831.1894,58969.40411127615
60729.4503,59553.79329714758
72794.003,60570.628153778955
72794.003,59508.5384260536
17585.197,13983.479508912453
19486.3937,13860.713801311576
19383.481,12338.190347258966
19545.7428,16096.322973893353
21391.9253,16005.711961553932
21391.9253,17050.962895536355
23514.0255,25760.601087737563
26123.7471,26604.92474997332
26016.0787,26451.726230994853
25545.241,27654.27195545846
29291.4006,31645.986916896985
29291.4006,30541.244548043665
